stock_name,max_correlation,lag
TSLA,0.44404861173273125,0
AMD,0.24721142113613298,0
NIO,0.22794068111386007,0
AAPL,0.21062879816953306,0
AMZN,0.20811409538288456,0
META,0.2017986302697125,0
GOOG,0.1881086084765578,2
PG,0.15133086112621533,2
MSFT,0.1251508199773107,1
TSM,0.11654807749616063,-2
NFLX,-0.1428302518198931,-6
