stock_name,date,sent_score,one_day_return,two_day_return,three_day_return,seven_day_return
TSLA,2022-09-29,0.2279561197665033,-0.41118902698629345,-0.22251885891736467,-0.11336684781162344,-0.3864078585351913
TSLA,2022-09-28,0.625457701914837,0.1021677515347879,0.17825647389993982,0.18138669036986488,-0.2027401502024648
TSLA,2022-09-27,0.6297738970080202,0.14538449275612844,0.11496067783764297,-0.08211801212482502,-0.19463430420335245
TSLA,2022-09-26,0.4530869933333671,0.014266223884256832,-0.19003952270331048,-0.36030193191717363,-0.2645346756060977
TSLA,2022-09-23,0.5411799632384089,-0.27818208242180725,-0.384762483443846,-0.48544187127530664,-0.26014809546232104
TSLA,2022-09-22,0.2788701915173489,-0.25615372155542365,-0.3042450601230999,-0.2976601074805238,-0.03375830359569776
TSLA,2022-09-21,0.4343985331984596,-0.16636415844132396,-0.1249310208272153,-0.03706241783275406,-0.03452136424301299
TSLA,2022-09-20,0.26397754934040696,-0.007132791827604244,0.08127302475228582,0.07238036182862374,0.08630297407398138
TSLA,2022-09-19,0.5177185768495421,0.12000005121832387,0.08036667184538708,0.09389110367133456,0.1889125134379578
TSLA,2022-09-16,0.6720758982443175,-0.008391482136649208,0.011179120874561403,0.16307348523961343,0.18738668316569476
TSLA,2022-09-15,0.7992469095116914,0.023916396329951004,0.17553741517924443,-0.009738093844087595,0.27969723196985474
TSLA,2022-09-14,0.45805457174299247,0.2198597770338316,-0.027343182737065916,0.04258503256528581,0.3089735000852696
TSLA,2022-09-13,0.7053349998842432,-0.2578324021201825,-0.1140538639170581,0.041713017420786785,0.1427572390358778
TSLA,2022-09-12,0.7574318063549399,0.09944101601789056,0.22901454175470107,0.30114816805851996,0.2747387928741427
TSLA,2022-09-09,0.7072625535829323,0.21860108672478665,0.24140151848687932,0.36713301291434025,0.20960594989409695
TSLA,2022-09-08,0.5251046250700931,0.11664333031785451,0.22418035224211702,0.27687634062348637,0.04234084423260603
TSLA,2022-09-07,0.5068255505805206,0.194685330623884,0.20378695082320908,0.09505364268137116,-0.04186385857244216
TSLA,2022-09-06,0.4244266892472958,0.08832215813529448,-0.041391652793996495,-0.017295262731154983,-0.20645912503543198
TSLA,2022-09-02,0.6986293958270702,-0.14580448301184232,-0.08157498871669003,-0.10886128838241635,-0.25639739919130705
TSLA,2022-09-01,0.6350744406326118,0.03251787359445715,-0.008157637175774838,-0.11133185010920149,-0.1839855047579247
TSLA,2022-08-31,0.8172251093235968,-0.04384672660491017,-0.13913116438687714,-0.1813866903698657,-0.13639985542008787
TSLA,2022-08-30,0.5179121644667288,-0.14937055881112027,-0.1569562585604479,-0.2669927630726869,-0.18087011031493858
TSLA,2022-08-29,0.3862671898497948,-0.06860118275914391,-0.16994808524880678,-0.1784313308033362,-0.17212867146543148
TSLA,2022-08-26,0.5559042889450734,-0.167412853622512,-0.13605943019630423,-0.12155429824514714,-0.15168958855839743
TSLA,2022-08-25,0.5010073862264486,-0.02153858564440014,-0.005790792911269157,0.08948223768134456,-0.10006658591766046
TSLA,2022-08-24,0.443482181334506,0.01349666856814694,0.10851524549209292,0.006250033266091474,-0.11656435290303542
TSLA,2022-08-23,0.26165580086017765,0.13720300574733615,-0.0032224856659319647,-0.09326082212487824,-0.034107821458941694
TSLA,2022-08-22,0.7806892723932654,-0.14167820679526308,-0.19572981463100694,-0.20468980922118313,0.031310514463520636
TSLA,2022-08-19,0.7730880176764402,-0.13013999888600145,-0.11073087726755344,-0.1438399182452536,0.0220286470777571
TSLA,2022-08-18,0.41932788969776713,-0.02363661623582453,-0.055793259334489864,-0.09374561996462262,0.18630582609318186
TSLA,2022-08-17,0.21094920680353835,-0.053845823881952005,-0.08041692233717343,0.05765235426347099,0.12943830936958153
TSLA,2022-08-16,0.4467247599912127,-0.057832530165992185,0.09869565397787965,0.28971439064504284,0.17540267309864901
TSLA,2022-08-15,0.4536849833925278,0.19489532575174096,0.342766441707355,0.21747995607101733,0.006548294288802449
TSLA,2022-08-12,0.6781694193138802,0.28111881306656267,0.08570428830320685,0.24267214537015847,-0.0702501802883566
TSLA,2022-08-11,0.3027399463434748,-0.1620976720631573,0.04980100344238919,-0.05513300226919099,-0.13309384132645666
TSLA,2022-08-10,0.3145679871931132,0.23125841501055416,0.05941867096208485,0.08991780170570775,-0.027845893179658004
TSLA,2022-08-09,0.3462396514865515,-0.1487412136565978,-0.07306513708472463,-0.3677145041933017,-0.1317586307048387
TSLA,2022-08-08,0.46432533575000323,0.04727259224260071,-0.27508917157223645,-0.2466933505075075,0.09081673099231061
TSLA,2022-08-05,0.3915054683838015,-0.42930046653490755,-0.2904473815114149,-0.18046588495787183,0.12730860768496946
TSLA,2022-08-04,0.7438283657948104,0.025944001726057514,0.12155686165855206,0.16505969267454054,0.47464962362077223
TSLA,2022-08-03,0.8070741907154997,0.14286711213803852,0.1528776704794035,0.14892696895342214,0.37156309859663195
TSLA,2022-08-02,0.6717400897089814,0.06944052304152333,0.05191613423427701,0.2861296366278296,0.27028818780953867
TSLA,2022-08-01,0.5088100040579463,0.0026575907796773375,0.2473942353926661,0.3263891476251559,0.2438412391499586
TSLA,2022-07-29,0.7061985720040866,0.3409091636623919,0.33732786325227637,0.5565137668392955,0.4734733112117531
TSLA,2022-07-28,0.2994762261599519,0.12755219307259366,0.3329473112068278,0.18119285994354523,0.33729608790272403
TSLA,2022-07-27,0.3059645525560841,0.334825707245024,0.09648048321610524,0.037449635137508715,0.32683819913030876
