Stock Name,1,2,3,4,5
TSLA,3.322210565453746,3.1891439650979443,2.57416162001823,2.5224746223419756,2.21871355404523
NIO,0.5,0.5,0.5,0.5,0.5
AMZN,0.5,0.5,0.5,0.5,0.5
MSFT,0.5,0.5,0.5,0.5,0.5
GOOG,0.5,0.5,0.5,0.5,0.5
PG,0.5,0.5,0.5,0.5,0.5
